Id,drug,condition,numOfInstances,averageRating
90,Gabapentin,Burning Mouth Syndrome,1,1.0
91,Gabapentin,Transverse Myelitis,1,7.0
92,Gabapentin,Occipital Neuralgia,1,10.0
93,Bupropion,Depression,549,7.358834244080145
94,Bupropion,Smoking Cessation,147,8.306122448979592
95,Bupropion,Major Depressive Disorde,114,7.0701754385964914
96,Bupropion,ADHD,58,7.793103448275862
97,Bupropion,Anxiety,55,7.0181818181818185
98,Bupropion,Bipolar Disorde,32,6.65625
99,Bupropion,"Sexual Dysfunction, SSRI Induced",27,6.333333333333333
100,Bupropion,Seasonal Affective Disorde,11,9.636363636363637
101,Bupropion,Panic Disorde,7,6.857142857142857
102,Bupropion,Obesity,5,8.2
103,Bupropion,Not Listed / Othe,4,7.0
104,Bupropion,Persistent Depressive Disorde,3,5.666666666666667
105,Bupropion,Postural Orthostatic Tachycardia Syndrome,2,8.5
106,Bupropion,Premenstrual Dysphoric Disorde,2,9.0
107,Bupropion,Migraine Prevention,1,5.0
108,Venlafaxine,Depression,437,6.478260869565218
109,Venlafaxine,Anxiety,145,6.813793103448276
110,Venlafaxine,Major Depressive Disorde,89,6.797752808988764
111,Venlafaxine,Generalized Anxiety Disorde,70,6.814285714285714
112,Venlafaxine,Anxiety and Stress,68,7.294117647058823
113,Venlafaxine,Hot Flashes,50,7.5
114,Venlafaxine,Bipolar Disorde,37,6.864864864864865
115,Venlafaxine,ibromyalgia,26,7.076923076923077
116,Venlafaxine,Panic Disorde,23,7.3478260869565215
117,Venlafaxine,Social Anxiety Disorde,12,8.416666666666666
118,Venlafaxine,Postpartum Depression,11,6.363636363636363
119,Venlafaxine,Obsessive Compulsive Disorde,10,8.0
120,Venlafaxine,Post Traumatic Stress Disorde,9,6.333333333333333
121,Venlafaxine,Irritable Bowel Syndrome,8,8.375
122,Venlafaxine,Migraine,4,4.0
123,Venlafaxine,Not Listed / Othe,4,6.25
124,Venlafaxine,Autism,3,7.0
125,Venlafaxine,Premenstrual Dysphoric Disorde,3,9.333333333333334
126,Venlafaxine,Cataplexy,1,10.0
127,Venlafaxine,Bulimia,1,10.0
128,Venlafaxine,Vulvodynia,1,7.0
129,Miconazole,Vaginal Yeast Infection,997,3.0180541624874624
130,Miconazole,Tinea Corporis,1,10.0
131,Medroxyprogesterone,Birth Control,502,5.51593625498008
132,Medroxyprogesterone,Abnormal Uterine Bleeding,382,3.2905759162303663
133,Medroxyprogesterone,Amenorrhea,45,7.911111111111111
134,Medroxyprogesterone,Endometriosis,38,5.868421052631579
135,Medroxyprogesterone,"Endometrial Hyperplasia, Prophylaxis",2,9.0
136,Medroxyprogesterone,Not Listed / Othe,1,4.0
137,Medroxyprogesterone,Renal Cell Carcinoma,1,7.0
138,Citalopram,Anxiety and Stress,417,7.685851318944844
139,Citalopram,Depression,388,7.56701030927835
140,Citalopram,Generalized Anxiety Disorde,75,8.053333333333333
141,Citalopram,Panic Disorde,43,7.72093023255814
142,Citalopram,Obsessive Compulsive Disorde,17,7.529411764705882
143,Citalopram,Postpartum Depression,17,7.529411764705882
144,Citalopram,Premenstrual Dysphoric Disorde,11,9.363636363636363
145,Citalopram,Bipolar Disorde,7,7.857142857142857
146,Citalopram,Not Listed / Othe,4,8.5
147,Citalopram,Hot Flashes,4,5.0
148,Citalopram,Trichotillomania,3,7.666666666666667
149,Citalopram,Borderline Personality Disorde,2,4.5
150,Citalopram,Post Traumatic Stress Disorde,2,10.0
151,Citalopram,Agitation,2,5.0
152,Citalopram,Persistent Depressive Disorde,1,8.0
153,Citalopram,Severe Mood Dysregulation,1,10.0
154,Bupropion / naltrexone,Obesity,678,7.075221238938053
155,Bupropion / naltrexone,Weight Loss,267,6.318352059925093
156,Lexapro,Anxiety,372,7.841397849462366
157,Lexapro,Depression,306,7.46078431372549
158,Lexapro,Generalized Anxiety Disorde,205,8.321951219512195
159,Lexapro,Major Depressive Disorde,27,7.185185185185185
160,Lexapro,Bipolar Disorde,19,6.894736842105263
161,Lexapro,Obsessive Compulsive Disorde,8,9.25
162,Lexapro,ibromyalgia,7,8.428571428571429
163,Lexapro,Premenstrual Dysphoric Disorde,3,9.333333333333334
164,Duloxetine,Depression,328,6.548780487804878
165,Duloxetine,ibromyalgia,152,6.5394736842105265
166,Duloxetine,Anxiety,125,6.88
167,Duloxetine,Chronic Pain,66,6.333333333333333
168,Duloxetine,Generalized Anxiety Disorde,63,6.587301587301587
169,Duloxetine,Pain,47,7.574468085106383
170,Duloxetine,Major Depressive Disorde,33,7.0606060606060606
171,Duloxetine,Diabetic Peripheral Neuropathy,23,6.086956521739131
172,Duloxetine,Bipolar Disorde,22,6.454545454545454
173,Duloxetine,Back Pain,19,7.2631578947368425
174,Duloxetine,Osteoarthritis,18,7.166666666666667
175,Duloxetine,Peripheral Neuropathy,15,5.866666666666666
176,Duloxetine,Hot Flashes,8,6.125
177,Duloxetine,Not Listed / Othe,4,8.75
178,Duloxetine,Chronic Fatigue Syndrome,4,3.75
179,Duloxetine,Urinary Incontinence,2,2.0
180,Duloxetine,Persistent Depressive Disorde,1,10.0
181,Duloxetine,Small Fiber Neuropathy,1,6.0
182,Metronidazole,Bacterial Vaginitis,401,7.052369077306733
183,Metronidazole,Bacterial Infection,208,6.447115384615385
184,Metronidazole,Diverticulitis,81,6.8765432098765435
185,Metronidazole,Dental Abscess,58,6.775862068965517
186,Metronidazole,Trichomoniasis,56,7.803571428571429
187,Metronidazole,Rosacea,38,6.947368421052632
188,Metronidazole,Clostridial Infection,19,5.2631578947368425
189,Metronidazole,Giardiasis,11,5.818181818181818
190,Metronidazole,Helicobacter Pylori Infection,11,6.181818181818182
191,Metronidazole,Pelvic Inflammatory Disease,7,4.714285714285714
192,Metronidazole,Skin or Soft Tissue Infection,6,5.5
193,Metronidazole,"Crohn's Disease, Acute",4,7.0
194,Metronidazole,Amebiasis,3,2.6666666666666665
195,Metronidazole,Not Listed / Othe,3,6.333333333333333
196,Metronidazole,Bone infection,3,6.0
197,Metronidazole,Pseudomembranous Colitis,3,7.0
198,Metronidazole,"Crohn's Disease, Maintenance",2,9.0
199,Metronidazole,Intraabdominal Infection,2,3.5
200,Metronidazole,Surgical Prophylaxis,1,9.0
201,Metronidazole,Deep Neck Infection,1,9.0
202,Metronidazole,Perioral Dermatitis,1,8.0
203,Metronidazole,STD Prophylaxis,1,5.0
204,Contrave,Obesity,649,6.989214175654854
205,Contrave,Weight Loss,263,6.380228136882129
206,Drospirenone / ethinyl estradiol,Birth Control,522,5.96360153256705
207,Drospirenone / ethinyl estradiol,Acne,199,7.015075376884422
208,Drospirenone / ethinyl estradiol,Menstrual Disorders,65,5.553846153846154
209,Drospirenone / ethinyl estradiol,Premenstrual Dysphoric Disorde,61,7.475409836065574
210,Drospirenone / ethinyl estradiol,Polycystic Ovary Syndrome,9,6.666666666666667
211,Cymbalta,Depression,303,6.323432343234323
212,Cymbalta,ibromyalgia,146,6.438356164383562
213,Cymbalta,Anxiety,124,7.185483870967742
214,Cymbalta,Chronic Pain,63,6.2063492063492065
215,Cymbalta,Generalized Anxiety Disorde,60,6.683333333333334
216,Cymbalta,Pain,32,7.625
217,Cymbalta,Major Depressive Disorde,31,5.774193548387097
218,Cymbalta,Diabetic Peripheral Neuropathy,26,6.923076923076923
219,Cymbalta,Bipolar Disorde,20,6.95
220,Cymbalta,Osteoarthritis,19,7.157894736842105
221,Cymbalta,Back Pain,19,6.894736842105263
222,Cymbalta,Peripheral Neuropathy,11,7.0
223,Cymbalta,Chronic Fatigue Syndrome,4,5.75
224,Cymbalta,Urinary Incontinence,1,8.0
225,Cymbalta,Hot Flashes,1,1.0
226,Depo-Provera,Birth Control,479,5.446764091858038
227,Depo-Provera,Abnormal Uterine Bleeding,343,3.1545189504373177
228,Depo-Provera,Endometriosis,28,6.464285714285714
229,Depo-Provera,Amenorrhea,4,9.75
230,Depo-Provera,"Endometrial Hyperplasia, Prophylaxis",1,9.0
231,Quetiapine,Bipolar Disorde,294,7.2312925170068025
232,Quetiapine,Insomnia,191,7.9267015706806285
233,Quetiapine,Depression,87,6.988505747126437
234,Quetiapine,Generalized Anxiety Disorde,80,7.85
235,Quetiapine,Borderline Personality Disorde,46,7.413043478260869
236,Quetiapine,Post Traumatic Stress Disorde,26,7.461538461538462
237,Quetiapine,Schizoaffective Disorde,26,6.923076923076923
238,Quetiapine,Schizophrenia,26,7.115384615384615
239,Quetiapine,Major Depressive Disorde,17,6.0
240,Quetiapine,Obsessive Compulsive Disorde,13,8.692307692307692
241,Quetiapine,Paranoid Disorde,9,7.0
242,Quetiapine,Not Listed / Othe,6,6.5
243,Quetiapine,Intermittent Explosive Disorde,2,10.0
244,Clonazepam,Anxiety,392,8.612244897959183
245,Clonazepam,Panic Disorde,189,9.095238095238095
246,Clonazepam,Insomnia,70,7.828571428571428
247,Clonazepam,Bipolar Disorde,50,8.36
248,Clonazepam,Restless Legs Syndrome,30,8.0
249,Clonazepam,Seizure Prevention,27,9.185185185185185
250,Clonazepam,Benzodiazepine Withdrawal,11,6.090909090909091
251,Clonazepam,Periodic Limb Movement Disorde,11,8.727272727272727
252,Clonazepam,Migraine Prevention,11,7.545454545454546
253,Clonazepam,Burning Mouth Syndrome,11,8.545454545454545
254,Clonazepam,Night Terrors,9,8.222222222222221
255,Clonazepam,Not Listed / Othe,5,8.4
256,Clonazepam,Hyperekplexia,2,8.5
257,Clonazepam,Sleep Paralysis,2,6.5
258,Clonazepam,Obsessive Compulsive Disorde,2,9.0
259,Clonazepam,Borderline Personality Disorde,1,9.0
260,Clonazepam,Temporomandibular Joint Disorde,1,10.0
261,Skyla,Birth Control,822,7.255474452554744
262,Tramadol,Pain,357,6.509803921568627
263,Tramadol,Back Pain,108,6.703703703703703
264,Tramadol,Chronic Pain,101,6.158415841584159
265,Tramadol,ibromyalgia,91,7.395604395604396
266,Tramadol,Depression,52,9.288461538461538
267,Tramadol,Restless Legs Syndrome,52,8.576923076923077
268,Tramadol,Anxiety,33,9.454545454545455
269,Tramadol,Not Listed / Othe,8,8.25
270,Tramadol,Rheumatoid Arthritis,8,9.375
271,Tramadol,Vulvodynia,4,8.75
272,Tramadol,Obsessive Compulsive Disorde,1,9.0
273,Tramadol,Opiate Withdrawal,1,10.0
274,Zoloft,Depression,281,7.2811387900355875
275,Zoloft,Panic Disorde,164,7.884146341463414
276,Zoloft,Social Anxiety Disorde,116,7.7155172413793105
277,Zoloft,Obsessive Compulsive Disorde,56,8.035714285714286
278,Zoloft,Anxiety and Stress,49,7.877551020408164
279,Zoloft,Major Depressive Disorde,47,7.127659574468085
280,Zoloft,Post Traumatic Stress Disorde,41,7.463414634146342
281,Zoloft,Premenstrual Dysphoric Disorde,22,8.409090909090908
282,Zoloft,Postpartum Depression,11,8.727272727272727
283,Zoloft,Bipolar Disorde,8,7.625
284,Zoloft,Vulvodynia,1,10.0
285,Zoloft,Persistent Depressive Disorde,1,8.0
286,Zoloft,Trichotillomania,1,10.0
287,Zoloft,Generalized Anxiety Disorde,1,9.0
288,Varenicline,Smoking Cessation,785,8.840764331210192
289,Varenicline,Not Listed / Othe,2,8.5
290,Fluoxetine,Depression,302,7.228476821192053
291,Fluoxetine,Anxiety and Stress,231,7.636363636363637
292,Fluoxetine,Premenstrual Dysphoric Disorde,53,8.433962264150944
293,Fluoxetine,Obsessive Compulsive Disorde,47,8.02127659574468
294,Fluoxetine,Panic Disorde,43,8.162790697674419
295,Fluoxetine,Major Depressive Disorde,32,7.71875
296,Fluoxetine,Bulimia,24,8.291666666666666
297,Fluoxetine,Hot Flashes,13,8.0
298,Fluoxetine,ibromyalgia,6,6.5
299,Fluoxetine,Postpartum Depression,3,10.0
300,Fluoxetine,Binge Eating Disorde,3,9.666666666666666
301,Fluoxetine,Not Listed / Othe,2,9.5
302,Fluoxetine,Trichotillomania,1,8.0
303,Fluoxetine,Borderline Personality Disorde,1,10.0
304,Fluoxetine,Persistent Depressive Disorde,1,7.0
305,Fluoxetine,Body Dysmorphic Disorde,1,8.0
306,Liraglutide,Obesity,312,7.996794871794871
307,Liraglutide,"Diabetes, Type 2",270,7.722222222222222
308,Liraglutide,Weight Loss,166,7.903614457831325
309,Liraglutide,"Diabetes, Type 1",3,9.666666666666666
310,Liraglutide,Not Listed / Othe,1,7.0
311,Tioconazole,Vaginal Yeast Infection,706,4.477337110481586
312,Alprazolam,Anxiety,428,8.869158878504672
313,Alprazolam,Panic Disorde,168,9.172619047619047
314,Alprazolam,Depression,61,9.081967213114755
315,Alprazolam,Tinnitus,26,8.192307692307692
316,Alprazolam,Not Listed / Othe,10,9.5
317,Alprazolam,Dysautonomia,4,9.5
318,Amitriptyline,Migraine Prevention,188,7.845744680851064
319,Amitriptyline,Pain,112,8.125
320,Amitriptyline,Insomnia,109,7.110091743119266
321,Amitriptyline,Anxiety and Stress,66,7.454545454545454
322,Amitriptyline,ibromyalgia,52,6.6923076923076925
323,Amitriptyline,Irritable Bowel Syndrome,47,8.74468085106383
324,Amitriptyline,Depression,38,8.552631578947368
325,Amitriptyline,Interstitial Cystitis,35,8.6
326,Amitriptyline,Cyclic Vomiting Syndrome,16,9.125
327,Amitriptyline,Vulvodynia,7,7.285714285714286
328,Amitriptyline,Post Traumatic Stress Disorde,6,9.5
329,Amitriptyline,Burning Mouth Syndrome,4,7.5
330,Amitriptyline,Reflex Sympathetic Dystrophy Syndrome,3,4.333333333333333
331,Amitriptyline,Pudendal Neuralgia,3,7.0
332,Amitriptyline,Chronic Myofascial Pain,2,10.0
333,Amitriptyline,Not Listed / Othe,2,9.0
334,Amitriptyline,Dysautonomia,1,8.0
335,Amitriptyline,Persistent Depressive Disorde,1,9.0
336,Amitriptyline,Urinary Incontinence,1,10.0
337,Amitriptyline,Neurotic Depression,1,10.0
338,Amitriptyline,Hyperhidrosis,1,10.0
339,Lo Loestrin Fe,Birth Control,667,6.053973013493254
340,Paroxetine,Anxiety,165,7.430303030303031
341,Paroxetine,Depression,136,6.661764705882353
342,Paroxetine,Anxiety and Stress,69,6.6521739130434785
343,Paroxetine,Panic Disorde,64,7.734375
344,Paroxetine,Hot Flashes,56,7.446428571428571
345,Paroxetine,Social Anxiety Disorde,48,8.104166666666666
346,Paroxetine,Generalized Anxiety Disorde,46,7.978260869565218
347,Paroxetine,Obsessive Compulsive Disorde,17,7.470588235294118
348,Paroxetine,Major Depressive Disorde,15,6.533333333333333
349,Paroxetine,Post Traumatic Stress Disorde,14,7.214285714285714
350,Paroxetine,Postpartum Depression,5,6.6
351,Paroxetine,Postmenopausal Symptoms,4,7.5
352,Paroxetine,Trichotillomania,1,10.0
353,Paroxetine,Premenstrual Dysphoric Disorde,1,10.0
354,Paroxetine,Dysautonomia,1,8.0
355,Paroxetine,Not Listed / Othe,1,10.0
356,Ethinyl estradiol / etonogestrel,Birth Control,631,6.632329635499207
357,Ethinyl estradiol / etonogestrel,Abnormal Uterine Bleeding,4,3.5
358,Chantix,Smoking Cessation,633,8.883096366508688
359,Pregabalin,ibromyalgia,212,6.495283018867925
360,Pregabalin,Generalized Anxiety Disorde,119,8.277310924369749
361,Pregabalin,Neuropathic Pain,96,6.520833333333333
362,Pregabalin,Pain,80,7.6875
363,Pregabalin,Diabetic Peripheral Neuropathy,35,6.4
364,Pregabalin,Neuralgia,28,8.035714285714286
365,Pregabalin,Peripheral Neuropathy,15,7.6
366,Pregabalin,Reflex Sympathetic Dystrophy Syndrome,11,7.363636363636363
367,Pregabalin,Postherpetic Neuralgia,11,6.545454545454546
368,Pregabalin,Migraine Prevention,8,8.25
369,Pregabalin,Restless Legs Syndrome,3,9.333333333333334
370,Pregabalin,Not Listed / Othe,2,9.5
371,Pregabalin,Dercum's Disease,1,9.0
372,Pregabalin,Epilepsy,1,6.0
373,Doxycycline,Acne,361,7.437673130193906
374,Doxycycline,Rosacea,59,8.271186440677965
375,Doxycycline,Bacterial Infection,50,5.74
376,Doxycycline,Chlamydia Infection,26,7.3076923076923075
377,Doxycycline,Lyme Disease,24,7.916666666666667
378,Doxycycline,Pneumonia,21,5.095238095238095
379,Doxycycline,Bronchitis,19,5.473684210526316
380,Doxycycline,Urinary Tract Infection,15,6.933333333333334
381,Doxycycline,Skin or Soft Tissue Infection,14,7.214285714285714
382,Doxycycline,Upper Respiratory Tract Infection,14,5.785714285714286
383,Doxycycline,"Lyme Disease, Neurologic",5,8.2
384,Doxycycline,Prostatitis,3,7.333333333333333
385,Doxycycline,Malaria Prevention,2,3.0
386,Doxycycline,Rheumatoid Arthritis,2,5.5
387,Doxycycline,Ocular Rosacea,2,6.0
388,Doxycycline,Malaria,2,7.5
389,Doxycycline,Pelvic Inflammatory Disease,1,7.0
390,Doxycycline,Bronchiectasis,1,9.0
391,Doxycycline,Bullous Pemphigoid,1,9.0
392,Doxycycline,Q Feve,1,9.0
393,Doxycycline,Not Listed / Othe,1,2.0
394,Doxycycline,Ehrlichiosis,1,10.0
395,Doxycycline,"Lyme Disease, Arthritis",1,5.0
396,Doxycycline,Gastroenteritis,1,1.0
397,Magnesium sulfate / potassium sulfate / sodium sulfate,Bowel Preparation,625,7.5584
398,Magnesium sulfate / potassium sulfate / sodium sulfate,Not Listed / Othe,1,9.0
399,NuvaRing,Birth Control,620,6.743548387096774
400,Copper,Birth Control,607,7.230642504118616
401,Topiramate,Migraine Prevention,331,6.138972809667674
402,Topiramate,Obesity,100,7.62
403,Topiramate,Bipolar Disorde,67,7.82089552238806
404,Topiramate,Seizure Prevention,37,6.027027027027027
405,Topiramate,ibromyalgia,25,6.24
406,Topiramate,Bulimia,10,7.1
407,Topiramate,Trigeminal Neuralgia,8,7.5
408,Topiramate,Diabetic Peripheral Neuropathy,6,7.333333333333333
409,Topiramate,Seizures,5,9.0
410,Topiramate,Borderline Personality Disorde,5,6.2
411,Topiramate,Not Listed / Othe,4,5.0
412,Topiramate,Tourette's Syndrome,3,8.0
413,Topiramate,Vulvodynia,1,3.0
414,Topiramate,Smoking Cessation,1,2.0
415,Plan B,Emergency Contraception,601,8.663893510815308
416,Plan B,Birth Control,3,10.0
417,Suprep Bowel Prep Kit,Bowel Preparation,597,7.463986599664992
418,Lamotrigine,Bipolar Disorde,406,8.27832512315271
419,Lamotrigine,Depression,57,8.105263157894736
420,Lamotrigine,Seizure Prevention,44,6.909090909090909
421,Lamotrigine,Anxiety,20,6.95
422,Lamotrigine,Borderline Personality Disorde,17,8.764705882352942
423,Lamotrigine,Epilepsy,14,7.642857142857143
424,Lamotrigine,Post Traumatic Stress Disorde,10,8.8
425,Lamotrigine,Schizoaffective Disorde,8,9.0
426,Lamotrigine,Migraine Prevention,8,8.0
427,Lamotrigine,Not Listed / Othe,2,5.5
428,Lamotrigine,Cyclothymic Disorde,2,8.5
429,Lamotrigine,Restless Legs Syndrome,1,1.0
430,Trazodone,Insomnia,382,6.850785340314136
431,Trazodone,Depression,57,7.175438596491228
432,Trazodone,Sedation,55,7.763636363636364
433,Trazodone,Anxiety,42,7.928571428571429
434,Trazodone,ibromyalgia,21,7.0
435,Trazodone,Major Depressive Disorde,12,7.0
436,Trazodone,Reflex Sympathetic Dystrophy Syndrome,6,8.0
437,Trazodone,Not Listed / Othe,5,7.8
438,Trazodone,Headache,4,3.25
439,Desvenlafaxine,Depression,414,7.239130434782608
440,Desvenlafaxine,Anxiety,97,7.391752577319588
441,Desvenlafaxine,Major Depressive Disorde,26,5.230769230769231
442,Desvenlafaxine,ibromyalgia,13,8.153846153846153
443,Desvenlafaxine,Post Traumatic Stress Disorde,10,9.1
444,Desvenlafaxine,Bipolar Disorde,7,7.714285714285714
445,Desvenlafaxine,Panic Disorde,4,8.75
446,Desvenlafaxine,Obesity,3,8.333333333333334
447,Desvenlafaxine,Not Listed / Othe,3,8.333333333333334
448,Desvenlafaxine,Postmenopausal Symptoms,2,10.0
449,Desvenlafaxine,ADHD,1,9.0
450,Lorcaserin,Weight Loss,387,7.919896640826873
451,Lorcaserin,Obesity,185,8.2
452,Belviq,Weight Loss,381,7.858267716535433
453,Belviq,Obesity,181,7.994475138121547
454,Azithromycin,Chlamydia Infection,236,7.6991525423728815
455,Azithromycin,Bronchitis,100,6.49
456,Azithromycin,Sinusitis,75,7.173333333333333
457,Azithromycin,Tonsillitis/Pharyngitis,41,6.414634146341464
458,Azithromycin,Upper Respiratory Tract Infection,33,6.878787878787879
459,Azithromycin,Bacterial Infection,22,5.454545454545454
460,Azithromycin,Pneumonia,11,6.090909090909091
461,Azithromycin,Otitis Media,6,6.333333333333333
462,Azithromycin,Skin or Soft Tissue Infection,4,7.0
463,Azithromycin,"Conjunctivitis, Bacterial",4,4.75
464,Azithromycin,Pharyngitis,4,8.75
465,Azithromycin,"COPD, Acute",2,8.0
466,Azithromycin,Not Listed / Othe,2,7.5
467,Azithromycin,Bacterial Endocarditis Prevention,2,5.0
468,Azithromycin,Cystic Fibrosis,1,9.0
469,Azithromycin,"Gonococcal Infection, Uncomplicated",1,10.0
470,Azithromycin,STD Prophylaxis,1,3.0
471,Azithromycin,"Mycobacterium avium-intracellulare, Treatment",1,7.0
472,Mirtazapine,Depression,205,7.248780487804878
473,Mirtazapine,Anxiety,149,7.093959731543624
474,Mirtazapine,Insomnia,121,7.2727272727272725
475,Mirtazapine,Major Depressive Disorde,40,6.825
476,Mirtazapine,Post Traumatic Stress Disorde,16,6.875
477,Mirtazapine,Obsessive Compulsive Disorde,8,7.875
478,Mirtazapine,Not Listed / Othe,2,5.5
479,Mirtazapine,Hot Flashes,1,6.0
480,Pristiq,Depression,418,7.188995215311005
481,Pristiq,Anxiety,65,7.061538461538461
482,Pristiq,Major Depressive Disorde,26,6.6923076923076925
483,Pristiq,ibromyalgia,11,7.090909090909091
484,Pristiq,Post Traumatic Stress Disorde,8,9.0
485,Pristiq,Panic Disorde,6,7.833333333333333
486,Pristiq,Bipolar Disorde,6,8.166666666666666
487,Pristiq,Obesity,2,8.5
488,Pristiq,Postmenopausal Symptoms,2,10.0
489,Pristiq,ADHD,1,7.0
490,Pristiq,Narcolepsy,1,9.0
491,Isotretinoin,Acne,517,8.381044487427467
492,Isotretinoin,Rosacea,8,8.375
493,Isotretinoin,Granuloma Annulare,1,10.0
494,Isotretinoin,Not Listed / Othe,1,10.0
495,Isotretinoin,Acute Nonlymphocytic Leukemia,1,10.0
496,Sulfamethoxazole / trimethoprim,Urinary Tract Infection,236,4.889830508474576
